k,redwine log-likelihood
2,-11.16679208600062
3,-10.813245505407192
4,-10.157404546948376
5,-9.993526712983138
6,-9.744664612443051
7,-9.63938670625717
8,-9.626236552814017
9,-9.46204306247924
10,-9.15366075947453
11,-9.141745083426468
12,-8.813709305182433
13,-8.714568983661932
14,-8.616651447841223
15,-8.493542295946982
16,-8.399259383838865
18,-8.020754579972936
20,-7.648249596452995
22,-7.382915311641826
24,-7.263974871240065
26,-7.033834958961938
28,-6.78858009327164
30,-6.699997600922765
32,-6.364753151867939
34,-5.963227334116563
36,-5.847535566270342
40,-5.069967947282928
45,-4.450911220881951
50,-3.464633354795084
55,-3.421913871428484
60,-2.677630874610624
