k,diabetic sse (left)
2,10.00910022070061
3,9.418812014156284
4,8.842562669835718
5,8.273036876088904
6,7.557323091049922
7,7.15621839272988
8,6.546037919373568
9,6.001551853083981
10,5.82098837996576
11,5.258997593251209
12,5.005066236412107
13,4.78307773488755
14,4.605010235907646
15,4.49740741801004
16,4.347543520705008
18,4.117217122325002
20,3.986275480335568
22,3.754664369955542
24,3.621718201716381
26,3.508470304699933
28,3.4015335973147147
30,3.253969924973594
32,3.1665590019870127
34,3.0816759325158243
36,2.9842860048512314
40,2.7887331191592413
45,2.654447116115059
50,2.4853336552196867
55,2.345097718963838
60,2.2501920678884866
